Square_Footage,Bedrooms,House_Age_Years,Distance_To_City_Miles,Sale_Price
2448,3,57,25.7,80000
3058,3,5,11.0,246715
1830,5,11,4.2,247283
1416,4,6,13.3,111172
4326,4,15,5.8,297712
3910,3,6,9.0,269783
2153,3,16,9.9,205547
4494,3,8,11.0,287367
1973,2,21,12.1,104135
2960,3,20,18.2,150256
4316,3,5,13.5,233312
3186,4,35,11.0,206428
2779,2,14,10.3,212227
1958,4,20,20.4,81327
1846,4,2,23.3,80000
1822,1,14,0.8,199426
4263,4,15,6.2,263721
1520,3,13,3.6,221394
2803,3,21,5.8,224552
1866,5,45,2.0,210449
1193,3,7,6.2,176160
1781,3,25,11.7,111420
3983,3,6,11.2,259660
3574,2,3,7.0,240661
1865,4,6,8.9,219381
1454,3,57,20.6,80000
2344,5,12,8.2,222843
2781,3,3,14.4,214784
2031,2,17,6.0,188198
4063,5,15,3.2,329055
1645,5,24,4.3,196406
2031,4,16,3.0,209494
3211,1,8,8.0,204002
2522,2,16,10.8,157048
3451,5,1,8.0,309845
3217,2,14,9.3,213946
2481,4,9,8.3,242165
4060,4,17,8.9,269314
2255,4,5,1.2,268815
2570,3,6,11.1,205144
3144,5,5,12.1,264602
2662,3,14,9.3,227783
2915,4,37,18.9,85150
1538,3,9,14.6,110933
3394,3,9,2.7,296999
4028,2,6,10.3,242134
2096,4,3,7.8,252040
1349,4,15,15.4,94160
2920,3,1,6.3,246485
2139,1,31,14.8,80000
2158,3,5,15.1,138015
2845,4,21,7.2,259938
1846,2,23,21.3,80000
1049,3,49,9.8,80000
2258,4,9,4.5,262253
2949,4,3,6.6,300547
1155,3,20,3.4,169748
2329,4,11,5.9,247536
2972,3,1,9.0,205220
2958,4,1,2.6,303612
4612,4,15,9.7,273798
2376,4,10,2.6,226572
1512,2,17,0.5,168398
2253,3,9,15.2,141614
3027,5,11,13.0,220280
3664,4,7,10.1,273119
2669,1,6,9.5,180153
4071,3,51,4.9,231212
3453,3,15,8.7,240990
3740,4,23,9.7,246051
3686,2,20,12.1,218944
3311,5,20,6.5,273243
3169,4,10,5.9,264939
1578,3,14,4.9,161017
3719,1,7,8.5,236844
2469,3,7,20.6,116567
2760,2,24,2.6,210098
2263,3,10,7.1,216318
2099,4,14,8.4,206765
3127,4,8,29.1,80000
1909,1,41,2.7,129717
2711,2,26,15.3,118762
2372,5,12,7.9,229951
2196,4,43,1.6,201464
3889,2,37,17.8,113401
4086,4,26,14.3,203053
1798,4,37,9.4,140633
3043,4,29,0.6,250621
1842,3,12,14.8,120255
2519,3,18,23.7,80000
3804,5,16,9.1,257971
3510,4,15,2.3,338555
3506,4,20,3.9,270311
2838,5,8,8.4,276332
2040,2,2,11.0,161856
1522,4,15,14.7,80000
1227,4,7,11.6,122423
3315,4,17,9.6,274632
4219,4,28,4.7,268840
2731,5,3,8.1,261870
2189,1,13,14.1,84723
2157,4,19,2.9,258340
3614,3,16,7.7,246569
1507,4,5,4.3,188155
2534,4,19,2.7,275700
3600,5,26,7.3,267829
2775,2,12,4.9,231595
2571,3,24,18.3,81682
1776,3,7,15.8,103227
3493,3,1,1.1,323164
1746,3,12,4.6,186199
3443,4,21,4.1,302167
2763,3,13,5.9,248146
4189,5,22,14.8,233465
3739,3,30,15.8,156257
1910,3,5,10.0,164927
2324,3,24,24.4,80000
3027,4,16,15.7,216174
2209,4,9,35.1,80000
2927,2,35,11.3,168320
3875,3,16,14.5,219183
3534,3,13,1.3,321643
1803,4,4,4.6,253864
2696,4,9,14.2,226092
2814,4,15,2.2,261947
4160,4,5,6.7,327474
1892,4,44,13.7,128965
3154,3,16,13.9,221243
1807,4,23,10.5,151108
3817,4,11,36.0,80000
4805,5,2,6.3,371993
2199,4,29,5.9,222114
2600,1,10,6.5,212657
2790,4,2,21.7,146931
1730,5,6,1.6,260782
1091,3,1,3.2,180209
2204,2,6,9.8,156965
1266,3,16,12.9,117931
1601,4,1,5.6,250220
2539,3,8,11.0,231692
3023,4,26,7.7,230300
3802,5,9,10.3,278158
2349,2,2,2.2,227800
2765,1,25,13.2,146082
3537,1,6,14.7,174753
1072,3,2,2.1,199337
2620,4,12,5.0,275939
2471,4,36,13.8,163086
1386,4,17,17.7,80000
3764,4,15,0.9,323009
1285,5,32,19.6,80000
2898,2,24,27.8,80000
3458,5,10,4.4,336794
1680,2,6,22.0,80000
1744,4,7,2.6,206996
3700,2,0,4.0,321372
3628,4,35,10.7,193667
2548,5,5,6.7,286321
4237,2,24,36.4,80000
2641,3,17,16.1,145461
1437,2,4,9.8,135939
2982,3,8,13.5,204941
2763,1,5,3.3,231413
1548,2,11,7.1,167528
4829,4,38,1.4,254818
2317,3,23,2.9,261695
3139,5,45,6.6,229734
1763,4,12,3.2,222834
1159,1,35,3.8,120155
3572,2,26,5.3,251674
2157,4,21,53.5,80000
1580,4,10,14.2,132116
2870,2,8,12.6,190703
4117,3,11,12.2,241052
3597,3,3,9.1,259692
2118,3,21,14.6,189443
3693,5,13,12.8,230813
1964,2,16,4.0,195621
3985,4,26,4.6,280787
2865,4,9,5.6,291638
3573,4,35,30.8,80000
2833,4,8,3.0,279255
1967,3,7,6.1,191943
2809,4,4,16.2,156424
3414,4,7,21.7,143673
1870,1,17,14.1,98044
1628,3,3,10.9,141214
4807,4,17,7.4,286857
3387,3,27,6.1,237979
1858,2,1,33.9,80000
3767,2,13,3.3,285224
3796,4,3,9.4,286978
1097,3,20,4.7,139391
2953,2,3,18.4,154267
1737,4,10,4.3,230006
3174,2,13,1.9,296857
3656,3,3,3.1,320752
3712,3,20,7.8,280907
2551,5,5,4.4,262064
2135,1,6,0.9,216557
991,3,25,7.3,109377
2329,3,15,13.5,176220
2907,4,23,7.4,228468
1708,2,51,44.5,80000
1707,2,86,1.1,80000
2276,1,12,15.9,116724
2080,4,7,10.8,220142
3009,4,6,3.7,335800
1383,5,9,19.4,89112
2887,4,22,10.0,220401
1502,5,16,2.4,213197
1402,5,53,4.7,144981
3725,4,23,11.4,246969
3600,4,17,4.6,298709
1844,4,17,7.4,158341
1638,4,11,1.3,254945
1582,4,5,13.7,109629
2822,3,22,15.8,111303
851,4,16,1.3,157534
3770,3,21,3.8,291883
1908,3,24,5.0,214930
2117,4,11,10.3,252977
3098,4,11,6.0,247234
2893,4,14,11.0,195095
2396,3,23,14.0,135181
1422,4,15,18.8,80000
3730,3,4,20.1,156522
4054,2,24,7.1,252527
1876,5,39,20.3,80000
3558,4,3,12.9,230571
3428,2,39,12.7,162947
2874,3,9,13.3,208392
3155,4,3,8.5,266027
1558,3,36,20.3,80000
1672,3,9,13.1,118529
1848,2,20,12.9,128264
2246,4,3,3.6,266218
2429,3,22,5.3,179866
2345,3,11,12.3,188395
3646,2,4,24.2,80000
1444,3,15,11.8,117302
1945,2,3,1.9,209098
2537,3,16,30.1,80000
3678,2,3,7.6,257367
2664,4,3,1.1,288165
3245,2,5,6.8,216866
2161,4,21,20.2,124571
1347,2,14,5.3,126632
1541,5,4,4.4,235737
3883,5,5,14.7,239321
3462,5,4,5.3,336805
2700,3,37,12.5,152635
2577,2,5,16.7,155382
2358,2,5,10.3,176852
4484,3,16,3.9,296702
1548,4,11,11.1,166507
2514,5,33,8.7,208006
1225,4,12,6.9,183585
4065,3,22,4.5,277804
2928,2,20,10.1,195071
3284,2,24,15.9,162903
2829,4,11,10.5,251338
1822,4,4,5.3,228401
2302,3,9,2.4,240113
1683,1,12,6.6,186412
3431,4,2,2.1,295066
2790,3,22,1.9,271200
4153,5,20,2.5,320287
1479,4,16,8.3,189544
4509,4,19,10.0,266603
1355,4,23,7.0,159461
2345,5,19,19.1,125781
1265,4,17,5.7,189325
3787,4,9,8.6,269700
4561,2,8,1.3,332733
3417,3,29,14.2,179833
1698,4,43,2.0,195158
4609,3,22,7.3,268537
2598,3,13,11.3,160491
4343,5,29,7.0,300132
4199,2,27,11.0,212664
1163,5,9,8.3,167859
1560,5,18,11.3,130712
2375,3,15,5.6,240809
3212,4,14,5.0,277252
3290,5,24,3.8,309859
1664,4,19,8.9,153173
3426,3,7,3.9,294857
3945,4,27,9.2,257286
3749,4,21,3.9,302763
1668,3,8,10.4,169907
1527,4,16,16.5,92145
3337,3,27,13.1,153540
3164,3,9,15.1,214201
4581,4,21,2.6,337907
1868,3,26,5.8,188601
1231,4,3,19.3,80000
3203,3,15,8.1,237799
1683,5,25,3.7,230331
1413,4,8,25.1,80000
1817,3,6,0.8,208204
1781,4,8,3.7,212273
3185,4,12,7.6,259646
1384,3,21,7.1,173522
1645,2,4,0.8,236713
1789,4,7,3.9,234184
2003,2,26,8.2,135025
1878,4,8,8.0,229745
2022,1,41,16.9,80000
3697,4,1,6.7,303787
2402,4,33,10.5,156935
2541,3,14,29.0,80000
3169,3,17,5.7,272469
1917,4,4,13.2,183844
3091,4,30,2.7,267105
3816,4,8,3.4,298946
2427,3,32,1.2,208967
2728,4,11,7.3,262001
1485,3,7,13.1,102073
1365,4,3,4.1,206112
1471,2,6,10.6,148510
4515,3,21,15.2,159249
1252,5,22,14.2,103478
2654,4,17,30.4,80000
2293,4,21,16.5,154928
4615,4,12,15.1,216777
1852,4,11,8.0,181907
1668,3,25,16.1,80000
2095,5,10,5.4,244853
4388,3,13,21.1,174859
2785,4,9,5.5,289228
2821,3,12,23.2,127149
2034,4,29,22.5,80000
3770,3,10,9.8,231817
2676,4,27,12.8,218932
2757,3,6,21.3,141194
1664,3,8,4.2,221003
2507,3,6,10.8,235431
2596,3,24,17.3,95565
1067,3,17,15.8,80000
4394,4,21,1.3,345791
2692,3,26,10.3,185692
2707,1,7,22.8,96415
1211,3,12,5.6,177883
2775,4,37,7.5,184525
2793,3,4,2.4,260286
3053,5,15,16.3,192164
1547,4,16,5.7,159262
3194,3,19,13.0,197322
1912,3,40,2.4,181217
3284,3,12,10.5,254875
1462,3,5,3.2,238767
1755,4,14,15.9,108409
4135,1,7,19.3,131287
2307,3,30,5.6,201887
4338,4,14,11.3,272289
1823,4,27,6.3,180153
2035,4,10,15.7,186778
2135,1,12,4.9,256956
1995,4,21,8.1,203471
4029,4,19,10.2,249993
2706,4,13,1.1,321176
3049,4,16,2.0,295952
2547,2,3,1.0,273631
2650,2,21,17.2,115888
2190,5,22,16.5,154681
2864,3,32,5.0,209332
1523,5,10,9.7,210414
2327,3,14,9.1,192361
4562,3,1,12.5,247955
1505,1,23,17.4,80000
2817,1,12,8.9,176116
2371,2,34,1.3,199320
2893,3,7,11.3,201354
1182,3,8,0.6,176574
1646,1,13,2.4,173282
1503,3,32,5.8,144729
3878,3,17,2.3,296862
3714,5,19,4.1,322260
3850,2,14,9.5,238496
2080,3,25,19.1,80000
3297,2,9,3.3,262487
2847,5,12,11.0,248471
3825,3,7,6.6,306366
2723,4,4,6.8,273706
2275,3,8,5.0,241909
4114,4,10,12.5,252023
2721,3,5,2.4,307512
1936,3,15,5.6,191136
1923,4,27,17.1,126852
2468,1,40,4.8,154316
2132,5,28,4.7,249370
4360,3,25,8.7,242904
1808,4,2,6.2,223287
2236,2,3,0.3,270005
2467,4,18,1.2,250310
3572,4,3,3.0,334362
3580,5,3,17.1,224862
2574,2,30,15.1,138292
3687,3,15,10.6,237342
2732,5,35,25.7,80000
2693,3,15,2.5,243713
1713,4,12,21.9,80000
1697,4,10,2.7,259122
1839,3,25,7.6,180251
1241,4,16,8.9,159810
1738,4,10,4.8,224638
2471,2,18,9.6,209952
2891,4,6,11.7,251540
4293,3,31,5.9,289434
3383,4,18,24.8,104357
1858,2,16,2.5,202667
2582,2,3,12.3,205523
4545,2,8,13.0,228761
3679,4,25,13.4,221660
4342,5,16,21.6,197714
1904,2,16,6.2,162606
2700,2,4,12.0,196710
3336,3,30,16.9,194112
3585,3,17,3.5,283880
3177,3,20,4.8,259740
2243,5,5,2.6,292365
2435,3,16,2.9,229415
2187,4,15,10.4,175356
3303,3,10,10.5,217091
4457,2,13,26.0,80000
2266,2,24,18.0,89906
2034,3,6,9.9,198505
2131,4,41,15.3,119581
935,4,8,3.8,148627
2837,3,22,1.3,301184
2888,4,31,18.5,117147
2711,4,9,9.0,241804
2177,3,28,2.5,192590
3866,2,19,0.9,290903
3299,2,8,2.4,256220
1848,4,4,10.1,198281
4556,3,18,23.6,111057
2933,3,10,11.3,231132
2286,3,8,13.9,175812
3162,4,18,5.4,286762
4213,3,55,17.8,86700
2770,4,24,14.6,181687
1801,3,19,20.2,80000
2499,2,25,9.5,159387
3102,3,13,10.1,226173
3320,4,4,13.5,246860
2369,5,7,16.3,176662
1602,4,6,14.2,148371
4409,4,20,48.6,80000
3030,4,20,15.4,197316
3053,5,10,32.2,80000
3291,3,43,19.9,80000
1575,2,13,6.7,173984
2788,4,5,7.1,258089
1570,4,21,23.6,80000
2099,3,1,1.4,274516
4277,3,7,4.4,323644
1789,2,43,1.3,152535
2031,5,29,4.8,243296
2599,3,5,5.7,233737
2984,4,17,12.6,213701
1662,4,15,16.3,124700
3792,5,52,5.5,241286
2605,3,14,4.4,250924
3373,4,14,9.5,267117
2948,3,3,8.2,270868
2259,4,11,5.1,207042
3264,4,28,3.4,267253
1133,3,10,11.9,129214
2719,3,13,14.0,206221
2807,4,11,4.8,267242
3075,3,25,28.0,80000
1698,4,5,3.2,217463
3064,3,23,5.4,240281
4339,4,16,7.3,292336
2298,3,32,10.7,164851
3193,1,1,13.8,187658
1111,3,26,0.7,170514
1777,4,22,7.8,182895
3547,5,5,6.0,315407
2547,5,19,7.8,299217
2350,4,4,4.0,306656
3031,2,24,19.1,91401
1491,3,11,15.9,112641
1514,4,3,2.9,223006
3207,3,6,7.3,256924
3741,4,10,9.8,288643
3236,3,53,6.0,208326
2039,4,6,21.5,80000
3800,2,22,4.5,277391
1949,2,13,6.5,156346
2001,4,9,9.6,195846
1784,2,24,13.2,107092
2491,3,10,0.3,262289
1888,3,6,8.3,178421
3491,5,21,4.7,291287
2500,3,5,3.7,260232
3099,2,26,6.9,244831
2083,3,36,8.4,175350
2144,4,14,3.4,263473
4881,3,5,6.3,286107
3753,4,20,19.7,154144
2223,4,5,3.8,252935
3501,4,23,5.5,292554
3452,2,9,4.5,238496
